Full Token,Count,"Positions (row, token_index)"
00000000000000000100,40,"[(50, 0), (91, 2), (138, 2), (185, 4), (244, 4), (296, 3), (304, 0), (335, 0), (413, 0), (439, 2), (530, 0), (546, 3), (548, 2), (548, 4), (549, 3), (680, 0), (995, 1), (995, 3), (1058, 0), (1168, 2), (1168, 3), (1181, 2), (1452, 4), (1504, 0), (1504, 2), (1840, 4), (1940, 3), (2106, 2), (2198, 3), (2232, 3), (2272, 0), (2280, 0), (2384, 0), (2454, 0), (2668, 0), (2727, 1), (2762, 3), (2850, 4), (2868, 2), (2909, 0)]"
00000000000000001000,40,"[(80, 0), (111, 0), (127, 3), (187, 0), (220, 0), (284, 4), (287, 4), (343, 4), (396, 0), (439, 0), (444, 1), (509, 4), (523, 0), (596, 3), (611, 1), (634, 0), (741, 2), (789, 1), (832, 2), (1028, 3), (1145, 3), (1249, 2), (1274, 2), (1308, 4), (1327, 2), (1404, 1), (1467, 2), (1478, 4), (1752, 0), (1855, 3), (1887, 3), (1941, 4), (1961, 4), (2275, 3), (2340, 4), (2343, 2), (2489, 2), (2584, 3), (2884, 0), (2885, 1)]"
00000100000000000000,37,"[(3, 1), (90, 2), (135, 3), (184, 4), (187, 3), (296, 1), (328, 3), (402, 1), (512, 1), (571, 3), (636, 2), (704, 4), (945, 0), (959, 1), (1072, 0), (1112, 4), (1290, 2), (1399, 4), (1879, 2), (1934, 1), (1940, 0), (1943, 0), (1944, 3), (1962, 3), (2049, 4), (2188, 2), (2230, 1), (2255, 1), (2305, 1), (2305, 2), (2322, 2), (2525, 4), (2561, 4), (2602, 1), (2603, 4), (2860, 2), (2969, 1)]"
00000000100000000000,34,"[(14, 2), (159, 0), (159, 2), (284, 2), (381, 1), (614, 2), (620, 0), (636, 3), (886, 4), (924, 2), (1067, 4), (1403, 1), (1417, 1), (1468, 3), (1513, 1), (1822, 4), (1887, 1), (1905, 0), (1916, 0), (1948, 2), (2162, 3), (2232, 1), (2244, 2), (2255, 3), (2259, 1), (2305, 0), (2376, 4), (2507, 0), (2515, 0), (2562, 2), (2630, 3), (2694, 4), (2836, 1), (2881, 1)]"
00001000000000000000,33,"[(29, 1), (109, 2), (125, 2), (144, 1), (175, 3), (198, 1), (217, 1), (218, 4), (284, 1), (377, 3), (378, 1), (488, 1), (491, 1), (526, 2), (530, 1), (612, 2), (898, 3), (904, 1), (927, 1), (937, 0), (1508, 1), (1903, 1), (1944, 2), (2124, 4), (2376, 3), (2397, 1), (2494, 2), (2537, 3), (2554, 0), (2557, 0), (2694, 3), (2775, 0), (2995, 1)]"
00000000000000000001,33,"[(29, 4), (72, 0), (175, 0), (229, 2), (247, 4), (341, 0), (356, 0), (377, 4), (382, 3), (450, 4), (454, 2), (502, 2), (571, 1), (701, 0), (1007, 3), (1595, 3), (1643, 4), (1903, 0), (2041, 4), (2057, 2), (2157, 4), (2202, 0), (2340, 3), (2380, 3), (2541, 1), (2559, 3), (2666, 1), (2702, 0), (2799, 0), (2836, 0), (2944, 2), (2995, 2), (3039, 0)]"
10000000000000000000,32,"[(57, 4), (87, 1), (87, 2), (159, 4), (164, 0), (353, 4), (668, 2), (704, 3), (947, 4), (950, 0), (951, 1), (1140, 3), (1179, 4), (1213, 3), (1290, 1), (1443, 4), (1496, 4), (1512, 4), (1685, 0), (1745, 4), (1813, 4), (2341, 2), (2476, 0), (2485, 1), (2667, 2), (2739, 1), (2751, 0), (2780, 4), (2817, 1), (2836, 3), (2951, 2), (2990, 3)]"
00000000000000100000,32,"[(76, 0), (78, 3), (196, 4), (199, 4), (234, 2), (252, 1), (308, 2), (452, 0), (528, 0), (574, 1), (632, 1), (646, 4), (706, 3), (963, 3), (1286, 0), (1452, 2), (1612, 0), (1721, 3), (1855, 4), (1931, 2), (2196, 0), (2206, 1), (2267, 0), (2367, 4), (2433, 1), (2448, 1), (2554, 4), (2562, 0), (2820, 4), (2868, 4), (2912, 4), (3021, 3)]"
00000010000000000000,29,"[(89, 1), (91, 0), (174, 2), (187, 2), (427, 0), (483, 2), (483, 3), (526, 3), (547, 0), (559, 1), (592, 1), (1007, 1), (1377, 0), (1794, 0), (1939, 0), (1948, 0), (2341, 1), (2355, 1), (2380, 0), (2476, 1), (2573, 3), (2573, 4), (2582, 0), (2598, 0), (2711, 2), (2842, 3), (2912, 3), (2923, 1), (3039, 2)]"
00000001000000000000,29,"[(159, 3), (220, 3), (330, 3), (394, 0), (418, 0), (487, 3), (513, 1), (596, 1), (628, 3), (635, 4), (1234, 3), (1386, 2), (1452, 3), (1758, 4), (1884, 4), (1903, 2), (1944, 0), (1988, 4), (2013, 2), (2048, 0), (2244, 0), (2271, 2), (2277, 2), (2305, 3), (2318, 0), (2536, 4), (2601, 3), (2978, 4), (2993, 3)]"
